snak	n	cum	cump
Q28466165	2	26283	0.9829462582744306
Q2865819	2	26285	0.983021055387262
Q2920595	2	26287	0.9830958525000935
Q2930613	2	26289	0.983170649612925
Q29958026	2	26291	0.9832454467257564
Q30029759	2	26293	0.9833202438385878
Q3029404	2	26295	0.9833950409514193
Q3242115	2	26297	0.9834698380642507
Q32947888	2	26299	0.9835446351770821
Q336221	2	26301	0.9836194322899137
Q3486937	2	26303	0.9836942294027451
Q37868118	2	26305	0.9837690265155765
Q38239859	2	26307	0.9838438236284079
Q39295553	2	26309	0.9839186207412394
Q39372574	2	26311	0.9839934178540708
Q42909	2	26313	0.9840682149669023
Q4379628	2	26315	0.9841430120797338
Q47462924	2	26317	0.9842178091925652
Q48282	2	26319	0.9842926063053966
Q499134	2	26321	0.984367403418228
Q50998292	2	26323	0.9844422005310595
Q5137366	2	26325	0.984516997643891
Q5428874	2	26327	0.9845917947567224
Q55982999	2	26329	0.9846665918695539
Q589298	2	26331	0.9847413889823853
Q7042855	2	26333	0.9848161860952167
Q7063944	2	26335	0.9848909832080481
Q7241052	2	26337	0.9849657803208797
Q7541856	2	26339	0.9850405774337111
Q776268	2	26341	0.9851153745465425
Q7888586	2	26343	0.985190171659374
Q83307	2	26345	0.9852649687722054
Q86135347	2	26347	0.9853397658850368
Q911554	2	26349	0.9854145629978683
Q96943145	2	26351	0.9854893601106998
Q97621558	2	26353	0.9855641572235312
Q101419594	1	26354	0.9856015557799469
Q101570375	1	26355	0.9856389543363626
Q102123287	1	26356	0.9856763528927783
Q1021386	1	26357	0.985713751449194
Q1021671	1	26358	0.9857511500056098
Q10370560	1	26359	0.9857885485620255
Q1039099	1	26360	0.9858259471184412
Q104188750	1	26361	0.985863345674857
Q104417834	1	26362	0.9859007442312727
Q104680	1	26363	0.9859381427876884
Q104853163	1	26364	0.9859755413441041
Q10501288	1	26365	0.9860129399005199
Q105418823	1	26366	0.9860503384569356
Q105756071	1	26367	0.9860877370133513
Q10639464	1	26368	0.986125135569767
Q10655125	1	26369	0.9861625341261827
Q10655178	1	26370	0.9861999326825984
Q106604812	1	26371	0.9862373312390141
Q1068947	1	26372	0.9862747297954298
Q10694573	1	26373	0.9863121283518457
Q107017212	1	26374	0.9863495269082614
Q107143364	1	26375	0.9863869254646771
Q10728636	1	26376	0.9864243240210928
Q107292086	1	26377	0.9864617225775085
Q10729326	1	26378	0.9864991211339242
Q107616948	1	26379	0.98653651969034
Q107711	1	26380	0.9865739182467557
Q10798782	1	26381	0.9866113168031714
Q10800557	1	26382	0.9866487153595871
Q108114975	1	26383	0.9866861139160028
Q108300820	1	26384	0.9867235124724185
Q10843263	1	26385	0.9867609110288343
Q108439375	1	26386	0.98679830958525
Q10855616	1	26387	0.9868357081416658
Q10866633	1	26388	0.9868731066980815
Q10873124	1	26389	0.9869105052544972
Q1090219	1	26390	0.9869479038109129
Q109120482	1	26391	0.9869853023673286
Q109292464	1	26392	0.9870227009237443
Q110041704	1	26393	0.98706009948016
Q1104153	1	26394	0.9870974980365758
Q110464255	1	26395	0.9871348965929915
Q11051391	1	26396	0.9871722951494072
Q110520887	1	26397	0.987209693705823
Q110853168	1	26398	0.9872470922622387
Q111023641	1	26399	0.9872844908186544
Q1111648	1	26400	0.9873218893750701
Q111811692	1	26401	0.9873592879314859
Q112234369	1	26402	0.9873966864879016
Q1125292	1	26403	0.9874340850443173
Q11303721	1	26404	0.987471483600733
Q113623892	1	26405	0.9875088821571487
Q113640527	1	26406	0.9875462807135644
Q1138244	1	26407	0.9875836792699801
Q114321034	1	26408	0.9876210778263959
Q11499929	1	26409	0.9876584763828117
Q115088092	1	26410	0.9876958749392274
Q11513337	1	26411	0.9877332734956431
Q116229137	1	26412	0.9877706720520588
Q116678856	1	26413	0.9878080706084745
Q117285300	1	26414	0.9878454691648902
Q11774156	1	26415	0.987882867721306
Q11796190	1	26416	0.9879202662777217
Q1181984	1	26417	0.9879576648341374
Q11971378	1	26418	0.9879950633905531
Q12049274	1	26419	0.9880324619469688
Q12059906	1	26420	0.9880698605033845
Q1209498	1	26421	0.9881072590598003
Q12144794	1	26422	0.9881446576162161
Q12177489	1	26423	0.9881820561726318
Q121998	1	26424	0.9882194547290475
Q1229025	1	26425	0.9882568532854632
Q12344332	1	26426	0.9882942518418789
Q12360779	1	26427	0.9883316503982946
Q12369333	1	26428	0.9883690489547103
Q12764792	1	26429	0.988406447511126
Q12803959	1	26430	0.9884438460675418
Q1294787	1	26431	0.9884812446239575
Q13235160	1	26432	0.9885186431803732
Q1327627	1	26433	0.988556041736789
Q13311320	1	26434	0.9885934402932047
Q13365770	1	26435	0.9886308388496204
Q13381572	1	26436	0.9886682374060362
Q13382608	1	26437	0.9887056359624519
Q1344452	1	26438	0.9887430345188676
Q13570226	1	26439	0.9887804330752833
Q13636225	1	26440	0.988817831631699
Q1368409	1	26441	0.9888552301881147
Q14009165	1	26442	0.9888926287445304
Q1402561	1	26443	0.9889300273009461
Q1402736	1	26444	0.9889674258573619
Q140686	1	26445	0.9890048244137777
Q1416611	1	26446	0.9890422229701934
Q1419997	1	26447	0.9890796215266091
Q14284	1	26448	0.9891170200830248
Q14290559	1	26449	0.9891544186394405
Q1437754	1	26450	0.9891918171958562
Q1454940	1	26451	0.989229215752272
Q14556953	1	26452	0.9892666143086877
Q1459149	1	26453	0.9893040128651034
Q1491183	1	26454	0.9893414114215191
Q1500610	1	26455	0.9893788099779348
Q151197	1	26456	0.9894162085343505
Q152355	1	26457	0.9894536070907664
Q152478	1	26458	0.9894910056471821
Q1540278	1	26459	0.9895284042035978
Q15432439	1	26460	0.9895658027600135
Q15450044	1	26461	0.9896032013164292
Q15462162	1	26462	0.9896405998728449
Q155647	1	26463	0.9896779984292606
Q156839	1	26464	0.9897153969856763
Q15972912	1	26465	0.9897527955420921
Q15978655	1	26466	0.9897901940985078
Q15991218	1	26467	0.9898275926549235
Q16000367	1	26468	0.9898649912113392
Q160131	1	26469	0.989902389767755
Q16061291	1	26470	0.9899397883241707
Q16101735	1	26471	0.9899771868805864
Q16145150	1	26472	0.9900145854370022
Q1627196	1	26473	0.9900519839934179
Q16308156	1	26474	0.9900893825498336
Q16308157	1	26475	0.9901267811062493
Q16316337	1	26476	0.990164179662665
Q16513769	1	26477	0.9902015782190807
Q1657500	1	26478	0.9902389767754964
Q1660363	1	26479	0.9902763753319122
Q16611574	1	26480	0.9903137738883279
Q16658624	1	26481	0.9903511724447437
Q16742096	1	26482	0.9903885710011594
Q16875701	1	26483	0.9904259695575751
Q1690874	1	26484	0.9904633681139908
Q17001827	1	26485	0.9905007666704065
Q1709010	1	26486	0.9905381652268223
Q17167049	1	26487	0.990575563783238
Q17176618	1	26488	0.9906129623396537
Q1718016	1	26489	0.9906503608960694
Q17307272	1	26490	0.9906877594524851
Q17310497	1	26491	0.9907251580089008
Q173950	1	26492	0.9907625565653165
Q1743122	1	26493	0.9907999551217324
Q174592	1	26494	0.9908373536781481
Q17484288	1	26495	0.9908747522345638
Q17486321	1	26496	0.9909121507909795
Q17488392	1	26497	0.9909495493473952
Q1751254	1	26498	0.9909869479038109
Q1753370	1	26499	0.9910243464602266
Q1757008	1	26500	0.9910617450166423
Q1766113	1	26501	0.9910991435730581
Q177220	1	26502	0.9911365421294738
Q1792938	1	26503	0.9911739406858895
Q1800680	1	26504	0.9912113392423052
Q18120029	1	26505	0.991248737798721
Q1815782	1	26506	0.9912861363551367
Q18208210	1	26507	0.9913235349115525
Q18342390	1	26508	0.9913609334679682
Q18355878	1	26509	0.9913983320243839
Q1840507	1	26510	0.9914357305807996
Q18511915	1	26511	0.9914731291372153
Q185196	1	26512	0.991510527693631
Q18533509	1	26513	0.9915479262500467
Q18576582	1	26514	0.9915853248064624
Q18810149	1	26515	0.9916227233628782
Q188958	1	26516	0.9916601219192939
Q189010	1	26517	0.9916975204757097
Q1897112	1	26518	0.9917349190321254
Q1919436	1	26519	0.9917723175885411
Q19356817	1	26520	0.9918097161449568
Q19356916	1	26521	0.9918471147013725
Q19691902	1	26522	0.9918845132577883
Q20150172	1	26523	0.991921911814204
Q201559	1	26524	0.9919593103706197
Q20198542	1	26525	0.9919967089270354
Q20738526	1	26526	0.9920341074834511
Q20794925	1	26527	0.9920715060398668
Q20857490	1	26528	0.9921089045962825
Q2087619	1	26529	0.9921463031526984
Q208762	1	26530	0.9921837017091141
Q2088877	1	26531	0.9922211002655298
Q21141408	1	26532	0.9922584988219455
Q2135538	1	26533	0.9922958973783612
Q21484199	1	26534	0.9923332959347769
Q21507004	1	26535	0.9923706944911926
Q21546358	1	26536	0.9924080930476084
Q21600439	1	26537	0.9924454916040241
Q21771805	1	26538	0.9924828901604398
Q2180295	1	26539	0.9925202887168555
Q219184	1	26540	0.9925576872732712
Q22082717	1	26541	0.992595085829687
Q2248623	1	26542	0.9926324843861027
Q22923679	1	26543	0.9926698829425185
Q2294052	1	26544	0.9927072814989342
Q23038345	1	26545	0.9927446800553499
Q23038410	1	26546	0.9927820786117656
Q2341443	1	26547	0.9928194771681813
Q23498	1	26548	0.992856875724597
Q23656820	1	26549	0.9928942742810127
Q23719406	1	26550	0.9929316728374284
Q23906216	1	26551	0.9929690713938442
Q24056480	1	26552	0.9930064699502599
Q24266767	1	26553	0.9930438685066757
Q2490358	1	26554	0.9930812670630914
Q25051941	1	26555	0.9931186656195071
Q25393460	1	26556	0.9931560641759228
Q254651	1	26557	0.99319346273233855
Q255274	1	26558	0.9932308612887543
Q2556132	1	26559	0.99326825984517
Q2566598	1	26560	0.9933056584015857
Q2576499	1	26561	0.9933430569580014
Q2586319	1	26562	0.9933804555144171
Q2627699	1	26563	0.9934178540708328
Q264323	1	26564	0.9934552526272485
Q2675537	1	26565	0.9934926511836644
Q26832546	1	26566	0.9935300497400801
Q27068070	1	26567	0.9935674482964958
Q27214348	1	26568	0.9936048468529115
Q2730732	1	26569	0.9936422454093272
Q2743689	1	26570	0.9936796439657429
Q27496075	1	26571	0.9937170425221586
Q2800373	1	26572	0.9937544410785744
Q28008528	1	26573	0.9937918396349901
Q28136343	1	26574	0.9938292381914058
Q28136886	1	26575	0.9938666367478215
Q2824523	1	26576	0.9939040353042372
Q2855502	1	26577	0.993941433860653
Q285759	1	26578	0.9939788324170687
Q28776412	1	26579	0.9940162309734845
Q28947943	1	26580	0.9940536295299002
Q2896489	1	26581	0.9940910280863159
Q29026159	1	26582	0.9941284266427316
Q29169143	1	26583	0.9941658251991473
Q2923662	1	26584	0.994203223755563
Q2926103	1	26585	0.9942406223119787
Q29367579	1	26586	0.9942780208683945
Q29452088	1	26587	0.9943154194248102
Q2957754	1	26588	0.9943528179812259
Q2962020	1	26589	0.9943902165376417
Q29887242	1	26590	0.9944276150940574
Q2994439	1	26591	0.9944650136504731
Q29948997	1	26592	0.9945024122068888
Q3029407	1	26593	0.9945398107633046
Q319544	1	26594	0.9945772093197203
Q322898	1	26595	0.994614607876136
Q3246315	1	26596	0.9946520064325517
Q3247461	1	26597	0.9946894049889674
Q328325	1	26598	0.9947268035453831
Q33083143	1	26599	0.9947642021017988
Q33109310	1	26600	0.9948016006582145
Q335757	1	26601	0.9948389992146304
Q3400050	1	26602	0.9948763977710461
Q3406827	1	26603	0.9949137963274618
Q3406834	1	26604	0.9949511948838775
Q3408848	1	26605	0.9949885934402932
Q3507251	1	26606	0.9950259919967089
Q35535	1	26607	0.9950633905531246
Q356139	1	26608	0.9951007891095404
Q3589290	1	26609	0.9951381876659561
Q3644587	1	26610	0.9951755862223718
Q3756713	1	26611	0.9952129847787875
Q3798487	1	26612	0.9952503833352032
Q382617	1	26613	0.995287781891619
Q388338	1	26614	0.9953251804480348
Q38883	1	26615	0.9953625790044505
Q392651	1	26616	0.9953999775608662
Q4070300	1	26617	0.9954373761172819
Q408832	1	26618	0.9954747746736976
Q41493761	1	26619	0.9955121732301133
Q41583	1	26620	0.995549571786529
Q4164507	1	26621	0.9955869703429447
Q41689495	1	26622	0.9956243688993605
Q4178004	1	26623	0.9956617674557762
Q41799705	1	26624	0.9956991660121919
Q418	1	26625	0.9957365645686077
Q42331263	1	26626	0.9957739631250234
Q42510715	1	26627	0.9958113616814391
Q43667189	1	26628	0.9958487602378548
Q4459623	1	26629	0.9958861587942706
Q4491179	1	26630	0.9959235573506863
Q45023940	1	26631	0.995960955907102
Q45052431	1	26632	0.9959983544635177
Q45916489	1	26633	0.9960357530199334
Q45920048	1	26634	0.9960731515763491
Q4594605	1	26635	0.9961105501327648
Q46540766	1	26636	0.9961479486891806
Q46926120	1	26637	0.9961853472455964
Q47004387	1	26638	0.9962227458020121
Q47529145	1	26639	0.9962601443584278
Q47670178	1	26640	0.9962975429148435
Q48357783	1	26641	0.9963349414712592
Q486748	1	26642	0.9963723400276749
Q487596	1	26643	0.9964097385840907
Q4989857	1	26644	0.9964471371405064
Q500251	1	26645	0.9964845356969221
Q50118159	1	26646	0.9965219342533378
Q5036514	1	26647	0.9965593328097535
Q50418136	1	26648	0.9965967313661692
Q51073295	1	26649	0.996634129922585
Q51073349	1	26650	0.9966715284790008
Q51073489	1	26651	0.9967089270354165
Q51073526	1	26652	0.9967463255918322
Q5116158	1	26653	0.9967837241482479
